capital;drapeau;etat
Saint-Marin;Drapeau de Saint-Marin;Saint-Marin
San José;Drapeau du Costa Rica;Costa Rica
San Salvador;Drapeau du Salvador;Salvador
Sanaa;Drapeau du Yémen;Yémen
Santiago;Drapeau du Chili;Chili
São Tomé;Drapeau de Sao Tomé-et-Principe Sao;Tomé-et-Principe
Sarajevo;Drapeau de la Bosnie-Herzégovine;Bosnie-Herzégovine
Séoul;Drapeau de la Corée du Sud;Corée du Sud
Singapour;Drapeau de Singapour;Singapour
Skopje;Drapeau de la Macédoine du Nord;Macédoine du Nord
Sofia;Drapeau de la Bulgarie;Bulgarie
Stockholm;Drapeau de la Suède;Suède
Sucre (constitutionnelle)29;Drapeau de la Bolivie;Bolivie
Suva;Drapeau des Fidji;Fidji
Tachkent;Drapeau de l'Ouzbékistan;Ouzbékistan
Tallinn;Drapeau de l'Estonie;Estonie
Tarawa-Sud31;Drapeau des Kiribati;Kiribati
Tbilissi;Drapeau de la Géorgie;Géorgie
Tegucigalpa;Drapeau du Honduras;Honduras
Téhéran;Drapeau de l'Iran;Iran
Tel Aviv-Jaffa;Drapeau d’Israël;Israël
Thimphou;Drapeau du Bhoutan;Bhoutan
Tirana;Drapeau de l'Albanie;Albanie
Tokyo;Drapeau du Japon;Japon
Tripoli;Drapeau de la Libye;Libye
Tunis;Drapeau de la Tunisie;Tunisie
Vaduz;Drapeau du Liechtenstein;Liechtenstein
La Valette;Drapeau de Malte;Malte
Varsovie;Drapeau de la Pologne;Pologne
Cité du Vatican;Drapeau du Vatican;Vatican
Victoria;Drapeau des Seychelles;Seychelles
Vienne;Drapeau de l'Autriche;Autriche
Vientiane;Drapeau du Laos;Laos
Vilnius;Drapeau de la Lituanie;Lituanie
Washington D.C.;Drapeau des États-Unis;États-Unis
Wellington;Drapeau de la Nouvelle-Zélande;Nouvelle-Zélande
Windhoek;Drapeau de la Namibie;Namibie
Yamoussoukro;Drapeau de la Côte d'Ivoire;Côte d'Ivoire
Yaoundé;Drapeau du Cameroun;Cameroun
Yaren;Drapeau de Nauru;Nauru
Zagreb;Drapeau de la Croatie;Croatie

